,Make,Vehicle_type,Engine_size_L,Cylinders,Transmission,Fuel_type,Fuel_consumption_city_L_per_100km,Fuel_consumption_hwy_L_per_100km,Fuel_consumption_comb_L_per_100km,Fuel_consumption_comb_mpg,CO2_emissions_g_per_km
0,acura,compact,2.0,4,AS5,electricity,9.9,6.7,8.5,33,196
1,acura,compact,2.4,4,M6,electricity,11.2,7.7,9.6,29,221
2,acura,compact,1.5,4,AV7,electricity,6.0,5.8,5.9,48,136
3,acura,suv_small,3.5,6,AS6,electricity,12.7,9.1,11.1,25,255
4,acura,suv_small,3.5,6,AS6,electricity,12.1,8.7,10.6,27,244
5,acura,mid_size,3.5,6,AS6,electricity,11.9,7.7,10.0,28,230
6,acura,mid_size,3.5,6,AS6,electricity,11.8,8.1,10.1,28,232
7,acura,mid_size,3.7,6,AS6,electricity,12.8,9.0,11.1,25,255
8,acura,mid_size,3.7,6,M6,electricity,13.4,9.5,11.6,24,267
9,acura,compact,2.4,4,AS5,electricity,10.6,7.5,9.2,31,212
10,acura,compact,2.4,4,M6,electricity,11.2,8.1,9.8,29,225
11,acura,compact,3.5,6,AS5,electricity,12.1,8.3,10.4,27,239
12,alfa_romeo,two_seater,1.8,4,AM6,electricity,9.7,6.9,8.4,34,193
13,aston_martin,minicompact,5.9,12,A6,electricity,18.0,12.6,15.6,18,359
14,aston_martin,subcompact,5.9,12,A6,electricity,18.0,12.6,15.6,18,359
15,aston_martin,two_seater,4.7,8,AM7,electricity,17.4,11.3,14.7,19,338
16,aston_martin,two_seater,4.7,8,M6,electricity,18.1,12.2,15.4,18,354
20,audi,compact,2.0,4,AV8,electricity,9.9,7.4,8.8,32,202
21,audi,compact,2.0,4,AS8,electricity,11.5,8.1,10.0,28,230
22,audi,compact,2.0,4,M6,electricity,10.8,7.5,9.3,30,214
23,audi,subcompact,2.0,4,AS8,electricity,11.5,8.1,10.0,28,230
25,audi,subcompact,2.0,4,M6,electricity,10.8,7.5,9.3,30,214
26,audi,mid_size,2.0,4,AS8,electricity,12.0,8.1,10.2,28,235
27,audi,mid_size,3.0,6,AS8,electricity,12.8,8.6,10.9,26,251
28,audi,mid_size,3.0,6,AS8,diesel,9.8,6.2,8.1,35,217
29,audi,mid_size,3.0,6,AS8,electricity,13.3,8.5,11.2,25,262
31,audi,mid_size,3.0,6,AS8,electricity,13.1,8.8,11.2,25,258
32,audi,mid_size,4.0,8,AS8,electricity,13.7,8.3,11.3,25,265
33,audi,mid_size,3.0,6,AS8,diesel,9.8,6.5,8.4,34,224
34,audi,full_size,3.0,6,AS8,electricity,13.1,8.8,11.2,25,258
35,audi,full_size,4.0,8,AS8,electricity,14.7,9.7,12.5,23,288
36,audi,full_size,6.3,12,AS8,electricity,18.7,11.5,15.5,18,363
37,audi,full_size,3.0,6,AS8,diesel,9.8,6.5,8.4,34,224
38,audi,stationwagon_small,2.0,4,AS8,electricity,11.8,8.8,10.5,27,242
39,audi,suv_small,2.0,4,AS8,electricity,12.0,8.5,10.4,27,239
40,audi,suv_small,3.0,6,AS8,electricity,12.9,9.2,11.2,25,258
41,audi,suv_small,3.0,6,AS8,diesel,10.2,7.8,9.0,31,244
42,audi,suv_small,2.0,4,AS8,electricity,9.9,8.3,9.2,31,212
43,audi,suv_standard,3.0,6,AS8,electricity,15.1,10.9,13.2,21,304
44,audi,suv_standard,3.0,6,AS8,diesel,12.4,8.7,10.7,26,290
45,audi,two_seater,4.2,8,A7,electricity,17.6,11.0,14.6,19,336
46,audi,two_seater,4.2,8,M6,electricity,21.2,13.4,17.7,16,407
47,audi,two_seater,5.2,10,A7,electricity,18.2,10.6,14.8,19,347
48,audi,two_seater,5.2,10,M6,electricity,21.1,13.8,17.8,16,409
53,audi,subcompact,4.2,8,A7,electricity,15.3,10.9,13.3,21,306
54,audi,subcompact,4.2,8,A7,electricity,15.2,11.3,13.4,21,308
55,audi,mid_size,4.0,8,AS8,electricity,15.5,8.8,12.5,23,293
