Engine Size(L),Cylinders,Fuel Type,CO2 Emissions(g/km)
2.0,4,Z,196
2.4,4,Z,221
1.5,4,Z,136
3.5,6,Z,255
3.5,6,Z,244
3.5,6,Z,230
3.5,6,Z,232
3.7,6,Z,255
3.7,6,Z,267
2.4,4,Z,212
2.4,4,Z,225
3.5,6,Z,239
1.8,4,Z,193
5.9,12,Z,359
4.7,8,Z,338
4.7,8,Z,354
2.0,4,Z,202
2.0,4,Z,230
2.0,4,Z,214
2.0,4,Z,235
3.0,6,Z,251
3.0,6,D,217
3.0,6,Z,262
3.0,6,Z,258
4.0,8,Z,265
3.0,6,D,224
4.0,8,Z,288
6.3,12,Z,363
2.0,4,Z,242
2.0,4,Z,239
3.0,6,D,244
2.0,4,Z,212
3.0,6,Z,304
3.0,6,D,290
4.2,8,Z,336
4.2,8,Z,407
5.2,10,Z,347
5.2,10,Z,409
4.2,8,Z,306
4.2,8,Z,308
4.0,8,Z,293
3.0,6,Z,285
3.0,6,Z,267
4.0,8,Z,281
4.0,8,Z,300
3.0,6,Z,292
2.0,4,Z,209
2.0,4,Z,237
4.0,8,Z,314
6.0,12,Z,356
4.0,8,Z,332
6.0,12,Z,380
6.0,12,Z,388
6.8,8,Z,437
2.0,4,Z,193
2.0,4,Z,200
2.0,4,D,181
3.0,6,Z,221
3.0,6,Z,230
3.0,6,Z,228
3.0,6,Z,237
3.0,6,Z,232
3.0,6,D,213
3.0,6,Z,246
4.4,8,Z,281
4.4,8,Z,292
3.0,6,Z,191
3.0,6,Z,214
3.0,6,Z,212
4.4,8,Z,338
4.4,8,Z,317
3.0,6,Z,260
3.0,6,Z,253
3.0,6,Z,255
4.4,8,Z,320
4.4,8,Z,370
3.0,6,Z,274
4.4,8,Z,324
3.0,6,Z,278
3.6,6,X,283
3.6,6,X,290
1.4,4,X,196
1.4,4,X,212
3.6,6,X,264
3.6,6,E,250
3.6,6,E,264
2.4,4,X,189
2.0,4,Z,228
2.0,4,Z,225
2.0,4,Z,246
2.4,4,X,218
2.0,4,Z,221
2.5,4,X,207
3.6,6,X,251
2.0,4,Z,232
3.6,6,X,260
3.6,6,X,258
3.6,6,X,262
3.6,6,X,248
2.0,4,Z,248
3.6,6,Z,294
3.0,6,X,253
3.0,6,X,255
6.2,8,Z,382
6.2,8,Z,340
6.2,8,Z,338
6.2,8,E,322
6.2,8,Z,377
6.2,8,E,354
3.6,6,X,294
3.6,6,X,271
3.6,6,Z,290
3.6,6,X,269
3.6,6,X,242
6.2,8,Z,294
6.2,8,Z,292
6.2,8,Z,276
6.2,8,Z,258
1.4,4,X,179
1.8,4,X,202
1.8,4,X,189
2.0,4,D,192
1.4,4,X,177
1.4,4,X,163
2.4,4,X,209
3.6,6,X,276
3.6,6,E,259
2.4,4,X,230
3.6,6,E,272
4.3,6,X,347
5.3,8,X,366
5.3,8,E,334
5.3,8,X,380
5.3,8,E,344
5.3,8,E,362
4.8,8,X,414
6.0,8,X,432
6.0,8,E,411
4.8,8,X,419
6.0,8,X,435
6.0,8,E,413
2.5,4,X,221
3.6,6,X,244
3.6,6,E,229
2.4,4,X,200
2.5,4,X,184
2.4,4,X,244
2.4,4,X,235
4.3,6,X,271
4.3,6,E,269
5.3,8,X,292
5.3,8,E,270
6.2,8,Z,324
4.3,6,X,290
4.3,6,E,285
5.3,8,X,299
5.3,8,E,277
6.2,8,Z,329
1.4,4,X,184
1.4,4,X,173
1.8,4,X,191
1.8,4,X,182
1.4,4,X,191
1.4,4,X,172
1.2,4,X,159
5.3,8,X,317
5.3,8,E,294
1.4,4,X,193
1.4,4,X,186
1.4,4,X,207
3.6,6,X,237
2.4,4,X,232
2.4,4,X,246
3.6,6,E,230
2.4,4,X,225
5.7,8,X,294
5.7,8,X,308
3.6,6,E,237
3.6,6,E,222
6.4,8,Z,317
3.6,6,E,269
5.7,8,X,301
6.4,8,Z,320
3.6,6,E,251
3.6,6,X,235
2.0,4,X,186
2.4,4,X,198
2.4,4,X,202
2.0,4,X,198
2.0,4,E,195
2.4,4,X,212
1.4,4,X,168
5.7,8,X,331
3.6,6,X,278
2.4,4,X,255
3.6,6,X,285
1.4,4,X,182
1.4,4,X,166
1.4,4,X,156
1.4,4,X,200
2.0,4,X,138
4.6,8,X,373
4.6,8,E,350
5.4,8,X,396
5.4,8,E,360
4.6,8,X,386
4.6,8,E,368
6.8,10,X,488
5.4,8,X,421
5.4,8,E,382
2.0,4,X,225
3.5,6,X,248
3.5,6,X,264
3.7,6,X,281
1.6,4,X,209
2.0,4,X,221
2.5,4,X,216
1.6,4,X,214
2.0,4,X,230
5.4,8,X,368
5.4,8,E,346
2.0,4,X,235
3.5,6,X,299
3.5,6,X,274
3.5,6,E,254
3.5,6,X,288
3.5,6,E,267
3.5,6,X,292
3.5,6,X,294
6.2,8,X,366
3.5,6,X,317
3.5,6,X,308
6.2,8,X,402
3.7,6,X,283
3.7,6,E,264
5.0,8,X,336
5.0,8,E,315
3.7,6,X,308
3.7,6,E,288
5.0,8,X,343
5.0,8,E,320
5.0,8,X,340
5.0,8,E,318
6.2,8,X,414
1.6,4,X,175
1.0,4,X,152
1.6,4,X,161
1.6,4,X,184
3.5,6,X,278
2.0,4,X,205
2.0,4,X,177
2.0,4,E,165
2.0,4,X,179
2.0,4,X,184
2.0,4,E,170
2.0,4,X,166
2.0,4,E,162
1.5,4,X,196
1.6,4,X,186
2.0,4,X,207
2.5,4,X,205
1.5,4,X,186
2.0,4,X,216
2.0,4,X,126
3.7,6,X,235
3.7,6,X,244
5.0,8,X,264
5.0,8,X,292
5.8,8,Z,304
2.0,4,X,209
3.5,6,X,271
3.5,6,X,237
3.5,6,E,229
3.5,6,X,258
3.5,6,E,251
1.6,4,X,218
2.5,4,X,228
1.6,4,X,232
2.5,4,X,239
3.6,6,X,297
2.4,4,X,182
2.4,4,X,186
3.5,6,X,209
3.5,6,X,221
3.5,6,X,251
2.0,4,X,110
1.8,4,X,161
1.8,4,X,166
1.8,4,X,175
3.5,6,X,246
2.4,4,X,216
1.5,4,X,145
1.5,4,X,159
1.5,4,X,172
1.5,4,X,177
3.5,6,X,244
3.5,6,X,265
3.5,6,X,276
1.6,4,X,177
2.0,4,X,196
5.0,8,Z,304
3.8,6,X,255
3.3,6,X,258
3.3,6,X,267
2.4,4,X,237
2.0,4,X,264
2.4,4,X,196
2.4,4,X,143
2.4,4,X,145
2.0,4,X,214
2.0,4,X,232
2.0,4,X,242
1.6,4,X,202
1.6,4,X,196
3.7,6,Z,235
3.7,6,Z,248
3.5,6,Z,172
3.5,6,Z,189
3.7,6,Z,265
3.7,6,Z,269
3.7,6,Z,283
3.7,6,Z,253
5.6,8,Z,283
5.6,8,Z,294
3.5,6,Z,175
3.7,6,Z,271
3.5,6,Z,253
2.5,4,X,196
3.7,6,Z,294
5.0,8,Z,334
5.6,8,Z,345
3.0,6,Z,244
5.0,8,Z,294
3.0,6,Z,281
5.0,8,Z,306
5.0,8,E,290
5.0,8,E,280
5.0,8,Z,301
5.0,8,Z,290
5.0,8,Z,315
5.0,8,Z,310
3.2,6,X,242
3.2,6,X,248
3.2,6,X,253
2.4,4,X,251
3.2,6,X,267
2.0,4,X,228
5.7,8,X,340
3.0,6,D,267
6.4,8,Z,363
3.6,6,X,308
3.3,6,X,251
1.8,4,X,184
2.0,4,X,193
1.6,4,X,223
1.6,4,X,225
1.6,4,X,216
1.6,4,X,221
2.4,4,X,147
2.0,4,X,212
3.3,6,X,262
2.4,4,X,253
3.3,6,X,271
1.6,4,X,205
1.6,4,X,207
2.0,4,X,202
2.4,4,X,260
2.0,4,X,262
6.5,12,Z,421
5.2,10,Z,361
5.2,10,Z,400
2.0,4,Z,274
3.0,6,Z,334
5.0,8,Z,354
5.0,8,Z,347
5.0,8,E,342
3.0,6,E,278
5.0,8,Z,345
5.0,8,Z,338
5.0,8,E,331
3.0,6,Z,283
3.0,6,E,277
1.8,4,X,129
2.5,4,X,138
4.6,8,Z,320
2.5,6,Z,223
2.5,6,Z,239
4.6,8,Z,283
4.6,8,Z,297
5.0,8,Z,262
5.7,8,Z,380
3.5,6,X,269
3.5,6,X,255
3.7,6,X,260
3.7,6,X,262
2.0,4,X,145
4.7,8,Z,347
4.7,8,Z,352
3.8,8,Z,334
3.0,6,Z,301
2.0,4,X,189
2.5,4,X,198
3.7,6,X,290
1.5,4,X,170
2.0,4,X,159
2.0,4,X,161
2.5,4,X,170
2.5,4,X,168
2.0,4,X,163
2.5,4,X,177
2.5,4,X,223
2.5,4,X,225
2.5,4,X,175
2.5,4,X,186
2.0,4,Z,184
1.8,4,Z,216
3.5,6,Z,242
3.5,6,E,224
6.2,8,Z,347
6.2,8,Z,352
4.7,8,Z,304
5.5,8,Z,308
2.0,4,Z,179
4.7,8,Z,264
5.5,8,Z,301
2.1,4,D,194
3.5,6,Z,235
3.5,6,Z,202
4.7,8,Z,267
4.7,8,Z,269
4.7,8,Z,262
5.5,8,Z,297
5.5,8,Z,310
5.5,8,Z,419
5.5,8,Z,407
3.0,6,D,324
4.7,8,Z,350
4.7,8,Z,359
5.5,8,Z,363
2.1,4,D,230
3.5,6,Z,260
3.5,6,Z,278
3.5,6,E,256
3.0,6,D,278
4.7,8,Z,327
5.5,8,Z,356
4.7,8,Z,278
4.7,8,Z,276
5.5,8,Z,304
5.5,8,Z,292
6.0,8,Z,327
1.8,4,Z,205
1.8,4,Z,207
3.5,6,Z,225
5.5,8,Z,246
6.2,8,Z,380
6.2,8,Z,361
1.6,4,Z,179
1.6,4,Z,200
1.6,4,Z,175
1.6,4,Z,168
1.6,4,Z,191
1.6,4,Z,184
1.6,4,Z,207
1.6,4,Z,196
2.0,4,X,191
2.0,4,Z,288
2.0,4,Z,283
2.0,4,Z,267
1.2,3,X,138
1.2,3,X,147
3.0,6,Z,235
2.0,4,X,200
3.7,6,Z,264
3.7,6,Z,262
3.5,6,X,214
5.6,8,X,380
2.5,4,X,283
2.5,4,X,260
4.0,6,X,292
4.0,6,X,315
4.0,6,X,301
3.8,6,Z,297
1.6,4,Z,186
1.6,4,Z,198
3.5,6,Z,251
3.5,6,X,253
2.5,4,X,202
2.5,4,X,191
1.8,4,X,179
5.6,8,X,359
5.6,8,X,398
1.6,4,X,152
4.0,6,X,327
3.4,6,Z,232
